customer_id,age,tenure,spend_rate,plan_type,churn,ticket_notes
C001,27,2,80,monthly,0,"Customer had a minor billing issue that was resolved quickly."
C002,33,5,90,monthly,0,"Customer asked a few questions about product features, no major complaints."
C003,22,1,75,monthly,1,"Customer complained about delayed support responses and unclear refund policy."
C004,29,3,100,monthly,0,"Customer requested additional information on upgrades, generally neutral."
C005,35,6,110,monthly,1,"Customer expressed frustration with the mobile app crashing frequently."
C006,25,4,95,monthly,0,"Customer mentioned a slightly slow website but seemed understanding."
C007,41,8,120,monthly,1,"Customer repeatedly complained about billing errors and poor product quality."
C008,30,7,85,monthly,0,"Customer asked about discounts, no major dissatisfaction."
C009,28,2,60,monthly,1,"Customer is unhappy with recent price hikes and limited support hours."
C010,34,10,130,monthly,0,"Customer had minor issues but praised quick email response."
C011,26,3,70,monthly,1,"Customer indicated disappointment with recurring technical glitches."
C012,40,9,115,monthly,0,"Customer seemed neutral, just routine queries on billing cycles."
C013,24,2,65,monthly,0,"Customer asked simple questions about service terms, no complaints."
C014,32,6,100,monthly,1,"Customer frustrated about delivery delays and no resolution from support."
C015,29,5,90,monthly,0,"Customer inquired about gift vouchers, no negative feedback."
C016,35,11,140,monthly,0,"Customer reported a small issue once, resolved efficiently."
C017,27,4,80,monthly,1,"Customer complained about website downtime affecting their usage."
C018,31,8,125,monthly,0,"Customer requested info on add-ons, generally satisfied."
C019,23,1,50,monthly,1,"Customer angry about the difficulty in canceling subscription."
C020,36,10,135,monthly,0,"Customer had a minor complaint about slow loading but was okay afterward."
C021,28,2,60,monthly,1,"Customer unhappy with repeated billing errors and unhelpful support."
C022,34,7,110,monthly,0,"Customer asked about seasonal discounts, seemed content."
C023,30,5,95,monthly,0,"Customer reported a small glitch in the app, but praised quick fix."
C024,42,12,150,monthly,1,"Customer wrote a negative review citing poor customer service."
C025,25,4,85,monthly,0,"Customer curious about payment plans, neutral feedback."
C026,33,8,120,monthly,1,"Customer threatened to leave due to constant login issues and no resolution."
C027,29,6,100,monthly,0,"Customer had minor questions about return policies, no negativity."
C028,26,3,75,monthly,1,"Customer frustrated by slow responses to their queries."
C029,37,9,130,monthly,0,"Customer inquired about loyalty points, seemed generally satisfied."
C030,31,2,90,monthly,0,"Customer mentioned slight dissatisfaction, but no major complaints."
C031,45,20,300,annual,0,"Customer praised reliable service, no major issues."
C032,39,15,250,annual,0,"Customer seems satisfied, asked about upgrading to a premium tier."
C033,50,24,400,annual,0,"Customer regularly praises product quality and responsive support."
