customer_id,age,tenure,spend_rate,plan_type,churn,ticket_notes,ticket_summary
C001,27,2,80,monthly,0,Customer had a minor billing issue that was resolved quickly.,"The customer experienced a minor billing issue, which was resolved quickly."
C002,33,5,90,monthly,0,"Customer asked a few questions about product features, no major complaints.",The customer inquired about various product features but did not express any significant complaints.
C003,22,1,75,monthly,1,Customer complained about delayed support responses and unclear refund policy.,The customer is frustrated with slow support response times and finds the refund policy to be unclear.
C004,29,3,100,monthly,0,"Customer requested additional information on upgrades, generally neutral.",The customer is seeking additional information regarding upgrades. Their tone is generally neutral.
C005,35,6,110,monthly,1,Customer expressed frustration with the mobile app crashing frequently.,The customer is frustrated with the mobile app due to frequent crashes.
C006,25,4,95,monthly,0,Customer mentioned a slightly slow website but seemed understanding.,The customer reported that the website is slightly slow but expressed understanding regarding the issue.
C007,41,8,120,monthly,1,Customer repeatedly complained about billing errors and poor product quality.,The customer is primarily concerned about ongoing billing errors and the subpar quality of the product.
C008,30,7,85,monthly,0,"Customer asked about discounts, no major dissatisfaction.",The customer inquired about available discounts but did not express any significant dissatisfaction.
C009,28,2,60,monthly,1,Customer is unhappy with recent price hikes and limited support hours.,The customer is dissatisfied with recent price increases and the restricted hours of support available.
C010,34,10,130,monthly,0,Customer had minor issues but praised quick email response.,The customer experienced minor issues but expressed satisfaction with the quick email response they received.
C011,26,3,70,monthly,1,Customer indicated disappointment with recurring technical glitches.,The customer expressed disappointment due to ongoing technical glitches they are experiencing.
C012,40,9,115,monthly,0,"Customer seemed neutral, just routine queries on billing cycles.","The customer inquired about billing cycles, expressing no strong feelings or complaints."
C013,24,2,65,monthly,0,"Customer asked simple questions about service terms, no complaints.",The customer inquired about service terms but did not express any complaints.
C014,32,6,100,monthly,1,Customer frustrated about delivery delays and no resolution from support.,The customer is frustrated due to delays in delivery and has not received a resolution from support.
C015,29,5,90,monthly,0,"Customer inquired about gift vouchers, no negative feedback.",The customer inquired about gift vouchers and did not express any negative feedback.
C016,35,11,140,monthly,0,"Customer reported a small issue once, resolved efficiently.",The customer reported a minor issue that was resolved quickly and effectively.
C017,27,4,80,monthly,1,Customer complained about website downtime affecting their usage.,The customer reported an issue with website downtime that is impacting their ability to use the service.
C018,31,8,125,monthly,0,"Customer requested info on add-ons, generally satisfied.",The customer inquired about add-ons and expressed general satisfaction with the information provided.
C019,23,1,50,monthly,1,Customer angry about the difficulty in canceling subscription.,The customer is frustrated with the challenges they are facing in canceling their subscription.
C020,36,10,135,monthly,0,Customer had a minor complaint about slow loading but was okay afterward.,The customer reported a minor complaint regarding slow loading times but expressed that they were satisfied afterward.
C021,28,2,60,monthly,1,Customer unhappy with repeated billing errors and unhelpful support.,The customer is frustrated due to ongoing billing errors and has found the support they received to be unhelpful.
C022,34,7,110,monthly,0,"Customer asked about seasonal discounts, seemed content.",The customer inquired about seasonal discounts and appeared satisfied with the information provided.
C023,30,5,95,monthly,0,"Customer reported a small glitch in the app, but praised quick fix.",The customer reported a small glitch in the app but expressed appreciation for the quick fix.
C024,42,12,150,monthly,1,Customer wrote a negative review citing poor customer service.,"The customer expressed dissatisfaction with the service they received, highlighting poor customer service as their main complaint."
C025,25,4,85,monthly,0,"Customer curious about payment plans, neutral feedback.",The customer is inquiring about payment plans and has provided neutral feedback.
C026,33,8,120,monthly,1,Customer threatened to leave due to constant login issues and no resolution.,The customer is frustrated with ongoing login issues and has expressed a desire to leave if the problem is not resolved.
